run,condition,trace_path,battery_csv_path,energy_total_mj,avg_current_ma,avg_voltage_v,duration_s,sample_count,avg_power_mw,avg_cpu_freq_mhz,cpu_big_core_pct,peak_memory_rss_kb,frame_janks,energy_method,parse_error
10,csr,results/20260324_160907/run_10_csr.perfetto-trace,results/20260324_160907/run_10_csr.battery.csv,21790.72,221.7,3.868,25.8,23,844.0,940.9,25.1,,0,adb_dumpsys_battery_polling,
1,ssr,results/20260324_160907/run_1_ssr.perfetto-trace,results/20260324_160907/run_1_ssr.battery.csv,72393.63,259.18,3.843,69.6,22,1040.9,914.0,25.2,,0,adb_dumpsys_battery_polling,
2,ssr,results/20260324_160907/run_2_ssr.perfetto-trace,results/20260324_160907/run_2_ssr.battery.csv,14546.28,155.09,3.842,24.5,22,593.2,1059.4,25.1,,0,adb_dumpsys_battery_polling,
3,ssr,results/20260324_160907/run_3_ssr.perfetto-trace,results/20260324_160907/run_3_ssr.battery.csv,25533.84,267.09,3.859,24.6,22,1037.6,1026.8,25.1,,0,adb_dumpsys_battery_polling,
4,ssr,results/20260324_160907/run_4_ssr.perfetto-trace,results/20260324_160907/run_4_ssr.battery.csv,27935.58,314.38,3.838,23.3,21,1197.5,1058.7,25.1,,0,adb_dumpsys_battery_polling,
5,csr,results/20260324_160907/run_5_csr.perfetto-trace,results/20260324_160907/run_5_csr.battery.csv,36862.78,366.57,3.841,26.2,23,1407.2,978.9,25.1,,0,adb_dumpsys_battery_polling,
6,csr,results/20260324_160907/run_6_csr.perfetto-trace,results/20260324_160907/run_6_csr.battery.csv,45338.1,448.43,3.836,26.2,23,1727.2,984.6,25.1,,0,adb_dumpsys_battery_polling,
7,csr,results/20260324_160907/run_7_csr.perfetto-trace,results/20260324_160907/run_7_csr.battery.csv,44314.49,428.65,3.844,26.6,23,1666.1,981.0,25.1,,0,adb_dumpsys_battery_polling,
8,ssr,results/20260324_160907/run_8_ssr.perfetto-trace,results/20260324_160907/run_8_ssr.battery.csv,26142.96,287.52,3.842,23.8,21,1096.4,1088.1,25.1,,0,adb_dumpsys_battery_polling,
9,csr,results/20260324_160907/run_9_csr.perfetto-trace,results/20260324_160907/run_9_csr.battery.csv,26696.85,264.96,3.869,25.9,23,1029.5,986.9,25.1,,0,adb_dumpsys_battery_polling,
