run,condition,scenario,temp_c,timestamp
1,csr,massive,26.1,2026-04-01T09:35:36Z
2,ssr,massive,26.1,2026-04-01T09:36:44Z
3,ssr,massive,26.1,2026-04-01T09:37:49Z
4,ssr,massive,26.0,2026-04-01T09:38:54Z
5,csr,massive,26.0,2026-04-01T09:40:00Z
6,csr,static,26.0,2026-04-01T09:41:06Z
7,ssr,dynamic,26.0,2026-04-01T09:42:13Z
8,csr,massive,26.0,2026-04-01T09:43:20Z
9,ssr,dynamic,26.0,2026-04-01T09:44:26Z
10,ssr,dynamic,26.0,2026-04-01T09:45:31Z
11,ssr,massive,26.0,2026-04-01T09:46:36Z
12,csr,massive,26.0,2026-04-01T09:47:42Z
13,csr,dynamic,26.0,2026-04-01T09:48:48Z
14,csr,massive,26.0,2026-04-01T09:49:54Z
15,ssr,static,26.0,2026-04-01T09:51:01Z
16,ssr,dynamic,26.0,2026-04-01T09:52:06Z
17,csr,dynamic,26.0,2026-04-01T09:53:11Z
18,csr,massive,26.0,2026-04-01T09:54:17Z
19,ssr,massive,26.0,2026-04-01T09:55:24Z
20,ssr,static,26.0,2026-04-01T09:56:29Z
21,ssr,static,26.0,2026-04-01T09:57:34Z
22,csr,dynamic,26.0,2026-04-01T09:58:39Z
23,csr,massive,26.0,2026-04-01T09:59:45Z
24,ssr,dynamic,26.0,2026-04-01T10:00:52Z
25,csr,static,26.0,2026-04-01T10:01:58Z
26,ssr,static,26.0,2026-04-01T10:03:05Z
27,ssr,dynamic,26.0,2026-04-01T10:04:10Z
28,csr,static,26.0,2026-04-01T10:05:15Z
29,csr,dynamic,26.0,2026-04-01T10:06:22Z
30,ssr,static,26.0,2026-04-01T10:07:28Z
31,csr,dynamic,26.0,2026-04-01T10:08:34Z
32,ssr,static,26.0,2026-04-01T10:09:40Z
33,csr,static,26.0,2026-04-01T10:10:45Z
34,ssr,massive,26.0,2026-04-01T10:11:51Z
35,csr,static,26.0,2026-04-01T10:12:57Z
36,csr,dynamic,26.0,2026-04-01T10:14:06Z
37,csr,massive,26.0,2026-04-01T10:15:12Z
38,csr,static,26.0,2026-04-01T10:16:18Z
39,ssr,dynamic,26.0,2026-04-01T10:17:24Z
40,ssr,massive,26.0,2026-04-01T10:18:28Z
41,ssr,static,26.0,2026-04-01T10:19:33Z
42,csr,dynamic,26.0,2026-04-01T10:20:37Z
43,ssr,static,26.0,2026-04-01T10:21:43Z
44,csr,static,26.0,2026-04-01T10:22:48Z
45,csr,static,26.0,2026-04-01T10:23:55Z
46,ssr,dynamic,26.0,2026-04-01T10:25:01Z
47,csr,dynamic,26.0,2026-04-01T10:26:06Z
48,ssr,massive,26.0,2026-04-01T10:27:13Z
49,ssr,static,26.0,2026-04-01T10:28:17Z
50,ssr,massive,26.0,2026-04-01T10:29:22Z
51,csr,dynamic,26.0,2026-04-01T10:30:27Z
52,csr,dynamic,26.0,2026-04-01T10:31:34Z
53,csr,static,26.0,2026-04-01T10:32:41Z
54,csr,massive,26.0,2026-04-01T10:33:47Z
55,ssr,dynamic,26.0,2026-04-01T10:34:54Z
56,ssr,massive,26.0,2026-04-01T10:35:59Z
57,csr,massive,26.0,2026-04-01T10:37:04Z
58,ssr,dynamic,26.0,2026-04-01T10:38:10Z
59,csr,static,26.0,2026-04-01T10:39:15Z
60,ssr,static,26.0,2026-04-01T10:40:21Z
